FID	stop_id	stop_name	stop_lat	stop_lon	stop_id2	trains	GEOID	County	ADA
36	416	138 St - Grand Concourse	40.813224	-73.929849	 	4 5	36005	Bronx County	0
22	222	149 St - Grand Concourse	40.81841	-73.926718	 	2	36005	Bronx County	0
35	415	149 St - Grand Concourse	40.818375	-73.927351	 	4 5	36005	Bronx County	0
34	414	161 St - Yankee Stadium	40.827994	-73.925831	 	4	36005	Bronx County	1
69	D11	161 St - Yankee Stadium	40.827905	-73.925651	 	B D	36005	Bronx County	1
33	413	167 St	40.835537	-73.9214	 	4	36005	Bronx County	0
68	D10	167 St	40.833771	-73.91844	 	B D	36005	Bronx County	0
32	412	170 St	40.840075	-73.917791	 	4	36005	Bronx County	0
67	D09	170 St	40.839306	-73.9134	 	B D	36005	Bronx County	0
15	215	174 St	40.837288	-73.887734	 	2 5	36005	Bronx County	0
66	D08	174-175 Sts	40.8459	-73.910136	 	B D	36005	Bronx County	0
30	410	176 St	40.84848	-73.911794	 	4	36005	Bronx County	0
64	D06	182-183 Sts	40.856093	-73.900741	 	B D	36005	Bronx County	0
28	408	183 St	40.858407	-73.903879	 	4	36005	Bronx County	0
7	207	219 St	40.883895	-73.862633	 	2 5	36005	Bronx County	0
6	206	225 St	40.888022	-73.860341	 	2 5	36005	Bronx County	0
2	104	231 St	40.878856	-73.904834	 	1	36005	Bronx County	1
5	205	233 St	40.893193	-73.857473	 	2 5	36005	Bronx County	1
1	103	238 St	40.884667	-73.90087	 	1	36005	Bronx County	0
59	619	3 Av - 138 St	40.810476	-73.926138	 	6	36005	Bronx County	0
21	221	3 Av - 149 St	40.816109	-73.917757	 	2 5	36005	Bronx County	1
10	210	Allerton Av	40.865462	-73.867352	 	2 5	36005	Bronx County	0
38	502	Baychester Av	40.878663	-73.838591	 	5	36005	Bronx County	0
61	D03	Bedford Park Blvd	40.873244	-73.887138	 	B D	36005	Bronx County	0
25	405	Bedford Park Blvd - Lehman College	40.873412	-73.890064	 	4	36005	Bronx County	0
12	212	Bronx Park East	40.848828	-73.868457	 	2 5	36005	Bronx County	0
58	618	Brook Av	40.807566	-73.91924	 	6	36005	Bronx County	0
43	602	Buhre Av	40.84681	-73.832569	 	6	36005	Bronx County	0
9	209	Burke Av	40.871356	-73.867164	 	2 5	36005	Bronx County	0
29	409	Burnside Av	40.853453	-73.907684	 	4	36005	Bronx County	0
47	607	Castle Hill Av	40.834255	-73.851222	 	6	36005	Bronx County	0
57	617	Cypress Av	40.805368	-73.914042	 	6	36005	Bronx County	0
56	616	E 143 St - St Mary's St	40.808719	-73.907657	 	6	36005	Bronx County	0
55	615	E 149 St	40.812118	-73.904098	 	6	36005	Bronx County	0
13	213	E 180 St	40.841894	-73.873488	 	2 5	36005	Bronx County	1
37	501	Eastchester - Dyre Av	40.8883	-73.830834	 	5	36005	Bronx County	0
51	611	Elder Av	40.828584	-73.879159	 	6	36005	Bronx County	0
27	407	Fordham Rd	40.862803	-73.901034	 	4	36005	Bronx County	1
63	D05	Fordham Rd	40.861296	-73.897749	 	B D	36005	Bronx County	0
16	216	Freeman St	40.829993	-73.891865	 	2 5	36005	Bronx County	0
8	208	Gun Hill Rd	40.87785	-73.866256	 	2 5	36005	Bronx County	1
39	503	Gun Hill Rd	40.869526	-73.846384	 	5	36005	Bronx County	1
53	613	Hunts Point Av	40.820948	-73.890549	 	6	36005	Bronx County	1
18	218	Intervale Av	40.822181	-73.896736	 	2 5	36005	Bronx County	0
20	220	Jackson Av	40.81649	-73.907807	 	2 5	36005	Bronx County	0
26	406	Kingsbridge Rd	40.86776	-73.897174	 	4	36005	Bronx County	0
62	D04	Kingsbridge Rd	40.866978	-73.893509	 	B D	36005	Bronx County	1
54	614	Longwood Av	40.816104	-73.896435	 	6	36005	Bronx County	0
44	603	Middletown Rd	40.843863	-73.836322	 	6	36005	Bronx County	0
41	505	Morris Park	40.854364	-73.860495	 	5	36005	Bronx County	0
50	610	Morrison Av- Sound View	40.829521	-73.874516	 	6	36005	Bronx County	0
24	402	Mosholu Pkwy	40.87975	-73.884655	 	4	36005	Bronx County	0
31	411	Mt Eden Av	40.844434	-73.914685	 	4	36005	Bronx County	0
4	204	Nereid Av	40.898379	-73.854376	 	2 5	36005	Bronx County	0
60	D01	Norwood - 205 St	40.874811	-73.878855	 	D	36005	Bronx County	0
48	608	Parkchester	40.833226	-73.860816	 	6	36005	Bronx County	0
42	601	Pelham Bay Park	40.852462	-73.828121	 	6	36005	Bronx County	1
11	211	Pelham Pkwy	40.857192	-73.867615	 	2 5	36005	Bronx County	1
40	504	Pelham Pkwy	40.858985	-73.855359	 	5	36005	Bronx County	1
19	219	Prospect Av	40.819585	-73.90177	 	2 5	36005	Bronx County	0
17	217	Simpson St	40.824073	-73.893064	 	2 5	36005	Bronx County	1
49	609	St Lawrence Av	40.831509	-73.867618	 	6	36005	Bronx County	0
65	D07	Tremont Av	40.85041	-73.905227	 	B D	36005	Bronx County	0
0	101	Van Cortlandt Park - 242 St	40.889248	-73.898583	 	1	36005	Bronx County	0
3	201	Wakefield - 241 St	40.903125	-73.85062	 	2	36005	Bronx County	0
14	214	West Farms Sq - E Tremont Av	40.840295	-73.880049	 	2 5	36005	Bronx County	0
45	604	Westchester Sq - E Tremont Av	40.839892	-73.842952	 	6	36005	Bronx County	0
52	612	Whitlock Av	40.826525	-73.886283	 	6	36005	Bronx County	0
23	401	Woodlawn	40.886037	-73.878751	 	4	36005	Bronx County	0
46	606	Zerega Av	40.836488	-73.847036	 	6	36005	Bronx County	0
302	F25	15 St - Prospect Park	40.660365	-73.979493	 	F G	36047	Kings County	0
272	B19	18 Av	40.607954	-74.001736	 	D	36047	Kings County	0
306	F30	18 Av	40.629755	-73.976971	 	F	36047	Kings County	0
365	N05	18 Av	40.620671	-73.990414	 	N	36047	Kings County	0
273	B20	20 Av	40.604556	-73.998168	 	D	36047	Kings County	0
366	N06	20 Av	40.61741	-73.985026	 	N	36047	Kings County	0
275	B22	25 Av	40.597704	-73.986829	 	D	36047	Kings County	0
378	R35	25 St	40.660397	-73.998091	 	R	36047	Kings County	0
379	R36	36 St	40.655144	-74.003549	 	D N R	36047	Kings County	0
300	F23	4 Av	40.670272	-73.989779	 	F G	36047	Kings County	0
380	R39	45 St	40.648939	-74.010006	 	R	36047	Kings County	0
267	B14	50 St	40.63626	-73.994791	 	D	36047	Kings County	0
381	R40	53 St	40.645069	-74.014034	 	R	36047	Kings County	0
268	B15	55 St	40.631435	-73.995476	 	D	36047	Kings County	0
382	R41	59 St	40.641362	-74.017881	 	N R	36047	Kings County	0
269	B16	62 St	40.626472	-73.996895	 	D	36047	Kings County	0
278	D25	7 Av	40.67705	-73.972367	 	B Q	36047	Kings County	0
301	F24	7 Av	40.666271	-73.980305	 	F G	36047	Kings County	0
270	B17	71 St	40.619589	-73.998864	 	D	36047	Kings County	0
384	R43	77 St	40.629742	-74.02551	 	R	36047	Kings County	0
271	B18	79 St	40.613501	-74.00061	 	D	36047	Kings County	0
362	N02	8 Av	40.635064	-74.011719	 	N	36047	Kings County	0
370	N10	86 St	40.592721	-73.97823	 	N	36047	Kings County	0
385	R44	86 St	40.622687	-74.028398	 	R	36047	Kings County	0
265	B12	9 Av	40.646292	-73.994324	 	D	36047	Kings County	0
376	R33	9 St	40.670847	-73.988302	 	R	36047	Kings County	0
330	J24	Alabama Av	40.676992	-73.898654	 	J	36047	Kings County	0
348	L24	Atlantic Av	40.675345	-73.903097	 	L	36047	Kings County	0
225	235	Atlantic Av - Barclays Ctr	40.684359	-73.977666	 	2 3 4 5	36047	Kings County	1
277	D24	Atlantic Av - Barclays Ctr	40.68446	-73.97689	 	B Q	36047	Kings County	1
374	R31	Atlantic Av - Barclays Ctr	40.683666	-73.97881	 	D N R	36047	Kings County	1
285	D32	Avenue H	40.62927	-73.961639	 	Q	36047	Kings County	1
307	F31	Avenue I	40.625322	-73.976127	 	F	36047	Kings County	0
286	D33	Avenue J	40.625039	-73.960803	 	Q	36047	Kings County	0
287	D34	Avenue M	40.617618	-73.959399	 	Q	36047	Kings County	0
309	F33	Avenue N	40.61514	-73.974197	 	F	36047	Kings County	0
310	F34	Avenue P	40.608944	-73.973022	 	F	36047	Kings County	0
289	D37	Avenue U	40.5993	-73.955929	 	Q	36047	Kings County	0
312	F36	Avenue U	40.596063	-73.973357	 	F	36047	Kings County	0
369	N09	Avenue U	40.597473	-73.979137	 	N	36047	Kings County	0
313	F38	Avenue X	40.58962	-73.97425	 	F	36047	Kings County	0
276	B23	Bay 50 St	40.588841	-73.983765	 	D	36047	Kings County	0
274	B21	Bay Pkwy	40.601875	-73.993728	 	D	36047	Kings County	1
308	F32	Bay Pkwy	40.620769	-73.975264	 	F	36047	Kings County	0
367	N07	Bay Pkwy	40.611815	-73.981848	 	N	36047	Kings County	0
386	R45	Bay Ridge - 95 St	40.616622	-74.030876	 	R	36047	Kings County	0
383	R42	Bay Ridge Av	40.634967	-74.023377	 	R	36047	Kings County	0
321	G33	Bedford - Nostrand Avs	40.689627	-73.953522	 	G	36047	Kings County	0
336	L08	Bedford Av	40.717304	-73.956872	 	L	36047	Kings County	0
226	236	Bergen St	40.680829	-73.975098	 	2 3	36047	Kings County	0
297	F20	Bergen St	40.686145	-73.990862	 	F G	36047	Kings County	0
282	D29	Beverley Rd	40.644031	-73.964492	 	Q	36047	Kings County	0
234	245	Beverly Rd	40.645098	-73.948959	 	2 5	36047	Kings County	0
222	232	Borough Hall	40.693219	-73.989998	 	2 3	36047	Kings County	1
247	423	Borough Hall	40.692404	-73.990151	 	4 5	36047	Kings County	1
389	S04	Botanic Garden	40.670343	-73.959245	 	S	36047	Kings County	0
292	D40	Brighton Beach	40.577621	-73.961376	 	B Q	36047	Kings County	0
318	G30	Broadway	40.706092	-73.950308	 	G	36047	Kings County	0
259	A51	Broadway Jct	40.678334	-73.905316	 	A C	36047	Kings County	0
